TrainingRecordID,EmpID,TrainingDate,TrainingProgramName,TrainingPurpose,TrainingCategory,TrainingType,DeliveryMode,LocationCode,Trainer,TrainerGender,TrainingProvider,TrainingDurationDays,TrainingCostUSD,CompletionStatus,TrainingResult,AssessmentAttempts,FeedbackSubmitted,OverallSatisfactionScore,TrainerEvaluationScore,JobRelevanceScore,PersonalRelevanceScore,DigitalContentUsabilityScore
TRN-002747,1125,2005-10-18,Information Security,Mandatory,Information Security,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,38.17,Incomplete,Failed,1.0,Yes,3,,4,3,3
TRN-002748,1208,2005-10-18,Technical Skills,Job Required,Technical Skills,External,In-person,EXT-NYC-01,Peter Allen,Male,TechCore Education,2,879.72,Completed,Passed,1.0,Yes,5,4,5,4,
TRN-002749,2028,2005-10-18,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,31.46,Completed,Passed,1.0,No,,,,,
TRN-002750,1203,2005-10-19,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,27.79,Completed,Passed,1.0,Yes,3,,4,2,3
TRN-002751,1293,2005-10-19,Equipment Operation,Job Required,Technical Skills,Internal,In-person,US-MA-01,Internal Trainer 10,Male,Internal L&D,2,485.82,Completed,Passed,1.0,No,,,,,
TRN-002752,2093,2005-10-19,Technical Skills,Job Required,Technical Skills,Internal,Self-paced Online,Online,,,Corporate Learning Platform,3,212.11,Completed,Passed,1.0,Yes,4,,4,4,4
TRN-002753,3604,2005-10-19,Information Security,Mandatory,Information Security,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,32.39,Incomplete,Not Taken,0.0,Yes,4,,5,4,3
TRN-002754,3694,2005-10-19,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,28.95,Completed,Passed,1.0,Yes,4,,4,3,4
TRN-002755,3790,2005-10-19,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,31.19,Completed,Passed,1.0,No,,,,,
TRN-002756,2277,2005-10-20,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,28.15,Completed,Passed,1.0,Yes,4,,4,3,4
TRN-002757,2489,2005-10-20,Data Protection,Mandatory,Data Protection,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,36.33,Completed,Passed,1.0,Yes,5,,3,5,4
TRN-002758,3309,2005-10-20,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,28.76,Completed,Passed,1.0,Yes,4,,4,3,3
TRN-002759,3487,2005-10-20,Leadership Development,Job Required,Leadership Development,Internal,In-person,US-KY-02,Internal Trainer 07,Male,Internal L&D,2,615.88,Completed,Not Applicable,,Yes,3,5,4,3,
TRN-002760,1462,2005-10-21,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,28.28,Completed,Passed,1.0,Yes,5,,4,4,5
TRN-002761,1497,2005-10-21,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,27.5,Incomplete,Failed,1.0,No,,,,,
TRN-002762,2729,2005-10-21,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,29.61,Completed,Passed,1.0,Yes,5,,3,4,4
TRN-002763,3790,2005-10-21,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,30.05,Completed,Passed,1.0,Yes,5,,4,4,4
TRN-002764,3821,2005-10-21,Data & BI Skills,Job Required,Technical Skills,Internal,In-person,US-MA-01,Internal Trainer 01,Male,Internal L&D,2,606.5,Completed,Passed,1.0,No,,,,,
TRN-002765,1571,2005-10-23,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,30.04,Incomplete,Not Taken,0.0,No,,,,,
TRN-002766,2166,2005-10-23,Data Protection,Mandatory,Data Protection,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,34.69,Incomplete,Failed,1.0,Yes,5,,4,4,4
TRN-002767,2446,2005-10-23,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,32.68,Completed,Passed,1.0,No,,,,,
TRN-002768,3397,2005-10-23,Data Protection,Mandatory,Data Protection,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,30.62,Completed,Passed,1.0,Yes,5,,3,4,3
TRN-002769,2939,2005-10-24,Data Protection,Mandatory,Data Protection,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,31.68,Completed,Passed,1.0,No,,,,,
TRN-002770,2952,2005-10-24,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,32.44,Completed,Passed,1.0,Yes,5,,3,5,4
TRN-002771,3733,2005-10-24,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,31.45,Completed,Passed,2.0,Yes,4,,3,3,3
TRN-002772,1529,2005-10-25,Equipment Operation,Job Required,Technical Skills,Internal,In-person,US-MA-03,Internal Trainer 11,Male,Internal L&D,3,813.97,Incomplete,Failed,1.0,Yes,4,4,4,4,
TRN-002773,2170,2005-10-25,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,28.52,Incomplete,Failed,2.0,No,,,,,
TRN-002774,2446,2005-10-25,Communication Skills,Job Required,Professional Skills,Internal,In-person,US-MA-02,Internal Trainer 16,Male,Internal L&D,1,185.89,Completed,Not Applicable,,Yes,4,4,4,3,
TRN-002775,1031,2005-10-26,Data & BI Skills,Job Required,Technical Skills,Internal,Self-paced Online,Online,,,Corporate Learning Platform,2,156.92,Completed,Passed,1.0,Yes,4,,3,5,5
TRN-002776,1301,2005-10-26,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,29.84,Completed,Passed,1.0,No,,,,,
TRN-002777,1540,2005-10-26,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,33.82,Completed,Passed,1.0,Yes,4,,3,4,3
TRN-002778,2386,2005-10-27,Leadership Development,Job Required,Leadership Development,Internal,In-person,US-MA-02,Internal Trainer 10,Male,Internal L&D,2,648.73,Completed,Not Applicable,,Yes,5,4,4,3,
TRN-002779,2596,2005-10-27,Employee Onboarding,Mandatory,Onboarding,Internal,Hybrid,US-ID-02,Internal Trainer 08,Male,Internal L&D,2,236.07,Incomplete,Not Applicable,,No,,,,,
TRN-002780,3793,2005-10-27,Data Protection,Mandatory,Data Protection,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,32.37,Completed,Passed,1.0,Yes,4,,4,3,4
TRN-002781,1455,2005-10-28,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,32.44,Completed,Passed,1.0,No,,,,,
TRN-002782,1550,2005-10-28,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,28.07,Completed,Passed,1.0,Yes,5,,4,3,4
TRN-002783,2134,2005-10-28,Employee Onboarding,Mandatory,Onboarding,Internal,In-person,US-MA-01,Internal Trainer 11,Male,Internal L&D,2,266.21,Completed,Not Applicable,,Yes,4,4,3,3,
TRN-002784,1301,2005-10-29,Employee Onboarding,Mandatory,Onboarding,Internal,Live Online,Online,Internal Trainer 05,Male,Internal L&D,2,158.09,Completed,Not Applicable,,Yes,4,5,,3,
TRN-002785,2446,2005-10-29,Employee Onboarding,Mandatory,Onboarding,Internal,In-person,US-MA-02,Internal Trainer 03,Female,Internal L&D,2,332.02,Completed,Not Applicable,,Yes,4,3,3,4,
TRN-002786,1125,2005-10-30,Data Protection,Mandatory,Data Protection,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,37.35,Incomplete,Not Taken,0.0,No,,,,,
TRN-002787,1689,2005-10-30,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,29.9,Completed,Passed,2.0,Yes,5,,4,3,4
TRN-002788,2993,2005-10-30,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,30.46,Incomplete,Failed,2.0,Yes,4,,5,3,4
TRN-002789,1208,2005-10-31,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,27.59,Completed,Passed,1.0,Yes,5,,4,3,5
TRN-002790,1550,2005-10-31,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,28.44,Incomplete,Failed,1.0,No,,,,,
TRN-002791,1816,2005-10-31,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,31.21,Incomplete,Failed,1.0,Yes,4,,3,2,5
TRN-002792,2939,2005-10-31,Quality Management,Job Required,Operational Excellence,Internal,Self-paced Online,Online,,,Corporate Learning Platform,2,119.96,Completed,Not Applicable,,Yes,3,,,4,4
TRN-002793,1203,2005-11-01,Information Security,Mandatory,Information Security,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,34.42,Completed,Failed,2.0,Yes,4,,4,3,4
TRN-002794,1493,2005-11-01,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,26.49,Completed,Passed,1.0,Yes,3,,4,3,3
TRN-002795,1540,2005-11-01,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,29.42,Completed,Passed,1.0,Yes,3,,3,,2
TRN-002796,1808,2005-11-01,Data Protection,Mandatory,Data Protection,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,36.44,Completed,Failed,3.0,No,,,,,
TRN-002797,2745,2005-11-01,Data Protection,Mandatory,Data Protection,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,36.16,Completed,Passed,1.0,Yes,4,,4,4,5
TRN-002798,2745,2005-11-01,Information Security,Mandatory,Information Security,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,36.8,Completed,Failed,1.0,Yes,2,,4,3,2
TRN-002799,3078,2005-11-01,Equipment Operation,Job Required,Technical Skills,Internal,Self-paced Online,Online,,,Corporate Learning Platform,3,194.43,Incomplete,Not Taken,0.0,Yes,4,,5,4,3
TRN-002800,3597,2005-11-01,Technical Skills,Job Required,Technical Skills,External,In-person,EXT-BOS-01,Alex Morgan,Male,NorthStar Learning,2,847.72,Completed,Passed,1.0,Yes,4,4,4,3,
TRN-002801,3885,2005-11-01,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,27.95,Completed,Passed,2.0,Yes,5,,4,4,4
TRN-002802,2028,2005-11-02,Information Security,Mandatory,Information Security,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,37.25,Incomplete,Not Taken,0.0,No,,,,,
TRN-002803,2949,2005-11-02,Equipment Operation,Job Required,Technical Skills,Internal,In-person,US-MA-02,Internal Trainer 13,Male,Internal L&D,2,564.52,Completed,Passed,1.0,Yes,3,3,5,2,
TRN-002804,3305,2005-11-02,Employee Onboarding,Mandatory,Onboarding,Internal,In-person,US-MA-01,Internal Trainer 06,Female,Internal L&D,2,278.07,Completed,Not Applicable,,Yes,4,5,4,1,
TRN-002805,3621,2005-11-02,Technical Skills,Job Required,Technical Skills,Internal,Self-paced Online,Online,,,Corporate Learning Platform,2,134.29,Completed,Passed,1.0,Yes,5,,3,4,3
TRN-002806,2170,2005-11-03,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,27.58,Completed,Passed,2.0,Yes,5,,4,4,4
TRN-002807,2596,2005-11-03,Leadership Development,Employee Initiated,Leadership Development,Internal,In-person,US-ID-02,Internal Trainer 04,Male,Internal L&D,2,641.12,Completed,Not Applicable,,Yes,4,4,3,4,
TRN-002808,2952,2005-11-03,Technical Skills,Job Required,Technical Skills,Internal,In-person,US-MA-02,Internal Trainer 10,Male,Internal L&D,2,573.97,Completed,Passed,1.0,Yes,4,5,4,3,
TRN-002809,2993,2005-11-03,Information Security,Mandatory,Information Security,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,31.81,Completed,Passed,1.0,Yes,3,,4,3,4
TRN-002810,1623,2005-11-04,Technical Skills,Job Required,Technical Skills,Internal,Hybrid,US-MA-01,Internal Trainer 12,Female,Internal L&D,3,634.3,Cancelled,Not Taken,,No,,,,,
TRN-002811,2952,2005-11-04,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,32.0,Incomplete,Not Taken,0.0,No,,,,,
TRN-002812,3585,2005-11-04,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,28.4,Completed,Passed,1.0,Yes,3,,3,3,4
TRN-002813,1623,2005-11-07,Employee Onboarding,Mandatory,Onboarding,Internal,Hybrid,US-MA-01,Internal Trainer 10,Male,Internal L&D,2,201.15,Completed,Not Applicable,,Yes,5,5,3,2,
TRN-002814,2446,2005-11-07,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,30.15,Completed,Passed,1.0,Yes,4,,4,2,2
TRN-002815,2937,2005-11-07,Employee Onboarding,Mandatory,Onboarding,Internal,Live Online,Online,Internal Trainer 18,Female,Internal L&D,2,145.76,Completed,Not Applicable,,Yes,4,4,4,4,
TRN-002816,3599,2005-11-07,Quality Management,Job Required,Operational Excellence,Internal,In-person,US-MA-03,Internal Trainer 14,Male,Internal L&D,2,423.88,Completed,Not Applicable,,Yes,4,4,4,4,
TRN-002817,1647,2005-11-08,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,28.27,Completed,Passed,2.0,Yes,5,,4,4,3
TRN-002818,2386,2005-11-08,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,27.25,Completed,Passed,1.0,Yes,4,,3,3,4
TRN-002819,3765,2005-11-08,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,29.14,Incomplete,Failed,3.0,No,,,,,
TRN-002820,3885,2005-11-08,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,28.12,Completed,Passed,2.0,Yes,4,,4,3,4
TRN-002821,1403,2005-11-09,Employee Onboarding,Mandatory,Onboarding,Internal,Hybrid,US-MA-03,Internal Trainer 18,Female,Internal L&D,2,233.0,Completed,Not Applicable,,Yes,4,4,4,4,
TRN-002822,1863,2005-11-09,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,31.4,Completed,Passed,1.0,Yes,5,,3,2,5
TRN-002823,1983,2005-11-09,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,27.65,Completed,Passed,2.0,Yes,4,,4,3,4
TRN-002824,2277,2005-11-09,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,31.0,Completed,Passed,2.0,Yes,5,,4,4,5
TRN-002825,2370,2005-11-09,Technical Skills,Job Required,Technical Skills,Internal,In-person,US-MA-01,Internal Trainer 13,Male,Internal L&D,2,503.12,Completed,Failed,1.0,Yes,4,3,,3,
TRN-002826,2598,2005-11-09,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,33.63,Completed,Passed,1.0,No,,,,,
TRN-002827,3305,2005-11-09,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,33.93,Completed,Passed,1.0,Yes,3,,4,2,4
TRN-002828,3581,2005-11-09,Data Protection,Mandatory,Data Protection,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,36.48,Incomplete,Failed,2.0,Yes,3,,3,3,3
TRN-002829,1171,2005-11-10,Information Security,Mandatory,Information Security,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,39.4,Completed,Passed,2.0,No,,,,,
TRN-002830,1301,2005-11-10,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,26.11,Completed,Passed,1.0,Yes,4,,4,3,3
TRN-002831,1374,2005-11-10,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,29.79,Completed,Passed,2.0,Yes,4,,4,3,5
TRN-002832,1922,2005-11-10,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,32.1,Cancelled,Not Taken,,No,,,,,
TRN-002833,2251,2005-11-10,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,27.69,Completed,Passed,1.0,Yes,5,,5,4,5
TRN-002834,2937,2005-11-10,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,31.96,Completed,Passed,2.0,Yes,3,,3,3,4
TRN-002835,3694,2005-11-10,Quality Management,Job Required,Operational Excellence,Internal,Self-paced Online,Online,,,Corporate Learning Platform,2,113.46,Completed,Not Applicable,,No,,,,,
TRN-002836,1497,2005-11-11,Information Security,Mandatory,Information Security,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,36.68,Completed,Passed,1.0,Yes,4,,4,3,3
TRN-002837,2613,2005-11-11,Data Protection,Mandatory,Data Protection,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,33.27,Cancelled,Not Taken,,No,,,,,
TRN-002838,3078,2005-11-11,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,32.39,Completed,Passed,1.0,Yes,3,,3,2,3
TRN-002839,3389,2005-11-11,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,33.54,Completed,Passed,1.0,Yes,5,,4,5,4
TRN-002840,1046,2005-11-12,Information Security,Mandatory,Information Security,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,37.14,Incomplete,Failed,2.0,Yes,4,,4,3,3
TRN-002841,1188,2005-11-12,Employee Onboarding,Mandatory,Onboarding,Internal,Hybrid,US-MA-01,Internal Trainer 08,Male,Internal L&D,2,237.41,Completed,Not Applicable,,Yes,5,4,3,5,4
TRN-002842,3585,2005-11-12,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,28.26,Incomplete,Failed,1.0,No,,,,,
TRN-002843,1403,2005-11-14,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,29.28,Completed,Failed,1.0,Yes,3,,3,2,4
TRN-002844,2598,2005-11-14,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,29.2,Completed,Passed,1.0,Yes,4,,4,3,4
TRN-002845,1564,2005-11-15,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,28.01,Completed,Passed,2.0,Yes,5,,4,2,5
TRN-002846,1644,2005-11-15,Employee Onboarding,Mandatory,Onboarding,Internal,Live Online,Online,Internal Trainer 02,Male,Internal L&D,2,173.63,Completed,Not Applicable,,Yes,,3,2,2,
TRN-002847,2134,2005-11-15,Equipment Operation,Job Required,Technical Skills,Internal,Self-paced Online,Online,,,Corporate Learning Platform,2,130.88,Completed,Passed,1.0,No,,,,,
TRN-002848,2937,2005-11-15,Equipment Operation,Job Required,Technical Skills,Internal,In-person,US-MA-02,Internal Trainer 14,Male,Internal L&D,2,529.66,Completed,Passed,1.0,Yes,,3,,3,
TRN-002849,2886,2005-11-16,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,27.8,Completed,Passed,3.0,Yes,4,,4,4,4
TRN-002850,1455,2005-11-17,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,27.07,Completed,Passed,1.0,Yes,4,,4,3,3
TRN-002851,1469,2005-11-17,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,34.32,Completed,Passed,2.0,No,,,,,
TRN-002852,2093,2005-11-17,Data Protection,Mandatory,Data Protection,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,32.77,Completed,Passed,1.0,Yes,3,,3,3,4
TRN-002853,2309,2005-11-17,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,34.77,Incomplete,Failed,2.0,No,,,,,
TRN-002854,1374,2005-11-18,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,28.17,Completed,Passed,1.0,Yes,4,,4,4,4
TRN-002855,1462,2005-11-18,Information Security,Mandatory,Information Security,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,33.29,Completed,Passed,1.0,Yes,3,,3,3,2
TRN-002856,2886,2005-11-18,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,30.64,Completed,Passed,3.0,Yes,3,,3,2,3
TRN-002857,2987,2005-11-18,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,29.04,Completed,Passed,1.0,Yes,4,,3,3,4
TRN-002858,2996,2005-11-18,Technical Skills,Job Required,Technical Skills,Internal,Hybrid,US-MA-01,Internal Trainer 09,Female,Internal L&D,2,402.66,Completed,Passed,1.0,Yes,5,5,4,4,4
TRN-002859,1293,2005-11-19,Employee Onboarding,Mandatory,Onboarding,Internal,Hybrid,US-MA-01,Internal Trainer 04,Male,Internal L&D,2,224.9,Incomplete,Not Applicable,,Yes,3,4,4,3,3
TRN-002860,1293,2005-11-19,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,32.34,Completed,Passed,1.0,Yes,5,,5,3,5
TRN-002861,2370,2005-11-19,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,26.04,Completed,Passed,1.0,Yes,5,,3,2,5
TRN-002862,2723,2005-11-19,Employee Onboarding,Mandatory,Onboarding,Internal,Self-paced Online,Online,,,Corporate Learning Platform,2,78.72,Completed,Not Applicable,,Yes,4,,3,4,5
TRN-002863,3561,2005-11-19,Employee Onboarding,Mandatory,Onboarding,External,Hybrid,EXT-DAL-01,Thomas Scott,Male,ProjectPro Academy,2,335.6,Completed,Not Applicable,,Yes,4,5,3,2,5
TRN-002864,3621,2005-11-19,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,34.38,Completed,Passed,1.0,No,,,,,
TRN-002865,1046,2005-11-21,Data Protection,Mandatory,Data Protection,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,36.51,Completed,Passed,2.0,Yes,5,,3,4,5
TRN-002866,1745,2005-11-21,Equipment Operation,Job Required,Technical Skills,External,In-person,EXT-NYC-01,Julia Baker,Female,TechCore Education,2,814.65,Completed,Passed,1.0,Yes,5,4,4,5,
TRN-002867,2028,2005-11-21,Data Protection,Mandatory,Data Protection,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,33.86,Completed,Passed,1.0,Yes,3,,3,3,3
TRN-002868,2723,2005-11-21,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,30.22,Completed,Passed,1.0,Yes,,,4,3,5
TRN-002869,3647,2005-11-21,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,32.15,Completed,Passed,3.0,No,,,,,
TRN-002870,2028,2005-11-22,Technical Skills,Job Required,Technical Skills,Internal,Hybrid,US-MA-03,Internal Trainer 12,Female,Internal L&D,2,399.37,Completed,Passed,1.0,Yes,4,4,5,5,4
TRN-002871,3259,2005-11-22,Communication Skills,Job Required,Professional Skills,External,Hybrid,EXT-NYC-01,Peter Allen,Male,TechCore Education,1,213.63,Incomplete,Not Applicable,,Yes,5,5,5,3,
TRN-002872,3305,2005-11-22,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,31.73,Completed,Passed,1.0,Yes,4,,4,3,5
TRN-002873,3389,2005-11-22,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,28.44,Completed,Passed,1.0,Yes,4,,4,3,4
TRN-002874,3604,2005-11-22,Data Protection,Mandatory,Data Protection,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,35.45,Completed,Passed,1.0,Yes,4,,2,3,3
TRN-002875,1455,2005-11-23,Information Security,Mandatory,Information Security,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,35.73,Incomplete,Failed,3.0,Yes,4,,5,3,4
TRN-002876,3561,2005-11-23,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,31.88,Completed,Passed,1.0,No,,,,,
TRN-002877,1623,2005-11-24,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,31.12,Completed,Passed,1.0,Yes,3,,3,4,3
TRN-002878,1203,2005-11-25,Data Protection,Mandatory,Data Protection,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,35.74,Completed,Passed,1.0,Yes,3,,3,3,4
TRN-002879,1497,2005-11-25,Data Protection,Mandatory,Data Protection,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,35.42,Completed,Passed,2.0,Yes,4,,4,3,4
TRN-002880,1594,2005-11-25,Technical Skills,Job Required,Technical Skills,Internal,In-person,US-MA-02,Internal Trainer 04,Male,Internal L&D,2,531.2,Completed,Passed,3.0,Yes,4,4,3,3,
TRN-002881,2251,2005-11-25,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,28.61,Cancelled,Not Taken,,No,,,,,
TRN-002882,2277,2005-11-25,Information Security,Mandatory,Information Security,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,33.44,Completed,Passed,1.0,Yes,3,,4,4,3
TRN-002883,2446,2005-11-25,Information Security,Mandatory,Information Security,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,37.98,Completed,Failed,1.0,Yes,4,,4,4,4
TRN-002884,3733,2005-11-25,Fire Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,27.06,Completed,Passed,1.0,Yes,2,,2,2,4
TRN-002885,3621,2005-11-26,Employee Onboarding,Mandatory,Onboarding,External,In-person,EXT-CHI-01,Thomas Scott,Male,ProjectPro Academy,2,499.03,Completed,Not Applicable,,Yes,5,5,5,3,
TRN-002886,1306,2005-11-28,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,31.81,Incomplete,Failed,2.0,Yes,5,,3,4,5
TRN-002887,1644,2005-11-28,Workplace Health & Safety,Mandatory,Health & Safety,Internal,Self-paced Online,Online,,,Corporate Learning Platform,1,33.53,Completed,Passed,1.0,Yes,5,,4,3,4
